channel_id,call_sign,display_name,city,state,source,site,site_id,match_method,confidence,reason
CineActionbyPlutoTV.de,,Cine Action by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#5f8ed1ff5c39700007e2204a,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineAdrenalina.us,,Cine Adrenalina,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5d8d164d92e97a5e107638d2,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineAmor.us,,Cine Amor,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5f5136317aedfb0007016f93,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineCatastrophebyPlutoTV.de,,Cine Catastrophe by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#65a69ef53af63d000825e0ee,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineFriki.es,,Cine Friki,,,i.mjh.nz/plex,i.mjh.nz,Plex/es#643054b1fc3be59477853717-6490e17c18a55242eea95991,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
CineHorreurbyPlutoTV.de,,Cine Horreur by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#66e1978babec540008ce41ac,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CineNanar.fr,,Cine Nanar,,,i.mjh.nz/plex,i.mjh.nz,Plex/fr#6430aa45fc3be5947780904e-6490e44818a55242eea95993,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
CinePremiere.us,,Cine Premiere,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/us#5cf968040ab7d8f181e6a68b,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
CinePride.us,,CinePride,,,i.mjh.nz/plex,i.mjh.nz,Plex/au#697140a85d851f5e69414688-62167144ab2095ca85353ad6,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/plex guide-source list
CineRetrobyPlutoTV.de,,Cine Retro by Pluto TV,,,i.mjh.nz/pluto,i.mjh.nz,PlutoTV/fr#5f8ed168f72fcd0007e56269,exact_channel_id,high,channel id matched verbatim in i.mjh.nz/pluto guide-source list
